#;PSRJ;RAJ;DECJ;P0;P1;BINARY;PSR;NGLT;
;;(hms);(dms);(s);;(type);TYPE;;
321;J0647+0913;06:47:15.6;+09:13:59.5;1.234854;6.42e-15;*;*;*;
322;J0648-27;06:48;-27;4.169000;*;*;*;*;
323;J0652-0142;06:52:11.1;-01:42:30.3;0.924054;1.52e-16;*;*;*;
324;J0653+4706;06:53:05.8;+47:06:26.9;0.004750;*;BT;HE;*;
325;J0653+8051;06:53:15.0;+80:52:00.2;1.214441;3.80e-15;*;*;*;
326;J0656-2228;06:56:30.2;-22:28:25.5;1.224754;2.67e-17;*;*;*;
327;J0656-5449;06:56:48.9;-54:49:14.9;0.183157;3.19e-17;*;*;*;
328;J0658+0022;06:58:15.2;+00:22:35.3;0.563295;9.15e-15;*;*;*;
329;J0659+1414;06:59:48.1;+14:14:19.4;0.384929;5.49e-14;*;HE[chmm89,rfk+96,srg+97,w;2;
330;J0659-36;06:59;-36;0.637000;*;*;*;*;
331;J0700+6418;07:00:37.8;+64:18:11.2;0.195671;6.85e-19;BT;*;*;
332;J0702-4956;07:02:39.3;-49:56:34.2;0.665994;*;*;*;*;
333;J0709+0458;07:09:08.3;+04:58:51.4;0.034429;3.80e-19;DDH;*;*;
334;J0709-5923;07:09:32.5;-59:23:55.6;0.485268;1.26e-16;*;*;*;
335;J0711+0931;07:11:36.1;+09:31:25;1.214090;4.00e-16;*;*;*;
336;J0711-6830;07:11:54.1;-68:30:47.3;0.005491;1.49e-20;*;*;*;
337;J0719-2545;07:19:07.3;-25:45:00.2;0.974725;7.28e-15;*;*;*;
338;J0720-3125;07:20:24.9;-31:25:50.0;8.391116;6.98e-14;*;XINS,NRAD;*;
339;J0721-2038;07:21:42.9;-20:38:07.0;0.015542;4.40e-20;BT;*;*;
340;J0725-1635;07:25:00.4;-16:35:45.8;0.424311;9.26e-17;*;*;*;
341;J0726-2612;07:26:08.1;-26:12:38.1;3.442308;2.93e-13;*;*;*;
342;J0729-1448;07:29:16.4;-14:48:36.8;0.251659;1.13e-13;*;HE[mhl+02,aab+22];6;
343;J0729-1836;07:29:32.3;-18:36:42.2;0.510160;1.90e-14;*;HE[sbc+19];2;
344;J0732+2314;07:32:37.5;+23:14:54.2;0.004090;6.02e-21;ELL1;*;*;
345;J0733-2345;07:33:24.6;-23:45:56.2;1.796250;5.70e-15;*;*;*;
346;J0734-1559;07:34:45.6;-15:59:18.2;0.156250;1.22e-14;*;NRAD;*;
347;J0736-6304;07:36:20.0;-63:04:16;4.862874;1.52e-13;*;RRAT;*;
348;J0737-2202;07:37:44.0;-22:02:05.3;0.320366;5.47e-15;*;*;*;
349;J0737-3039A;07:37:51.2;-30:39:40.7;0.022699;1.76e-18;DDS;HE[cgm+07,gkj+13];*;
350;J0737-3039B;07:37:51.2;-30:39:40.7;2.773461;8.92e-16;DD;*;*;
351;J0738-4042;07:38:32.2;-40:42:39.4;0.374921;1.38e-15;*;*;*;
352;J0738+6904;07:38:22.6;+69:04:20.0;6.827693;2.70e-14;*;*;*;
353;J0740+6620;07:40:45.7;+66:20:33.5;0.002886;1.22e-20;ELL1;HE[lsg+15,aab+22];*;
354;J0742-2822;07:42:49.0;-28:22:43.7;0.166762;1.68e-14;*;HE;8;
355;J0742+4110;07:42:12.2;+41:10:15.0;0.003139;*;*;*;*;
356;J0742+4334;07:42:42.1;+43:34:02.2;0.606191;3.71e-16;*;*;*;
357;J0744-2525;06:46:22.4;-54:52:57;0.091996;9.56e-16;*;NRAD[nie+20];*;
358;J0745-5353;07:45:04.4;-53:53:09.5;0.214839;2.19e-15;*;*;*;
359;J0746-4529;07:46:59.5;-45:29:26.6;2.791025;1.67e-14;*;*;*;
360;J0747+6646;07:47:39.6;+66:46:56.7;0.407701;6.78e-16;*;*;*;
361;J0749-4247;07:49:49.6;-42:47:42.1;1.095452;9.77e-16;*;*;*;
362;J0750+57;07:50;+57:00;1.174875;*;*;*;*;
363;J0750-6846;07:50:35.8;-68:46:33.8;0.915216;1.10e-16;*;*;*;
364;J0751+1807;07:51:09.1;+18:07:38.4;0.003479;7.79e-21;ELL1H;HE[wob+04,aaa+09f];*;
365;J0753-0816;07:53:33;-08:19:35;2.093620;*;*;*;*;
366;J0754+3231;07:54:40.6;+32:31:56.2;1.442349;1.08e-15;*;*;*;
367;J0758-1528;07:58:29.0;-15:28:08.7;0.682265;1.62e-15;*;*;1;
368;J0758-30;07:58;-30;1.092000;*;*;*;*;
369;J0802-5613;08:02:24.0;-56:13:02;0.273973;2.76e-15;*;NRAD[nie+20];*;
370;J0803-0942;08:03:26.8;-09:42:50.8;0.571257;1.16e-15;*;*;*;
371;J0803+34;08:03:05;+34:19;*;*;*;RRAT[ttm18];*;
372;J0804-3647;08:04:22.2;-36:47:35.5;2.191987;4.21e-15;*;*;*;
373;J0806+08;08:06:05;+08:17;2.063100;*;*;*;*;
374;J0806-4123;08:06:23.4;-41:22:30.9;11.370386;5.56e-14;*;XINS,NRAD;*;
375;J0807-5421;08:07:47.1;-54:21:26.4;0.526644;3.78e-16;*;*;*;
376;J0808-3937;08:08:11.6;-39:37:52.9;0.866349;4.01e-16;*;*;*;
377;J0809-4753;08:09:43.8;-47:53:54.7;0.547202;3.08e-15;*;*;*;
378;J0811+37;08:11:12;+37:28;1.248300;*;*;*;*;
379;J0812-3905;08:12:14.8;-39:05:48.9;0.482596;4.49e-17;*;*;*;
380;J0813+22;08:13:54;+22:01;0.531400;*;*;*;*;
381;J0814+7429;08:14:59.5;+74:29:05.7;1.292241;1.68e-16;*;*;*;
382;J0815+0939;08:15:08.7;+09:39:50.7;0.645161;1.39e-16;*;*;*;
383;J0815+4611;08:15:59.4;+46:11:53.2;0.434242;3.90e-18;*;*;*;
384;J0818-3049;08:18:49.3;-30:49:31;0.763742;5.80e-16;*;*;*;
385;J0818-3232;08:18:25.9;-32:32:30.5;2.161259;7.53e-16;*;*;*;
386;J0820-1350;08:20:26.3;-13:50:55.8;1.238130;2.11e-15;*;*;2;
387;J0820-3826;08:20:59.9;-38:26:42.9;0.124837;2.44e-15;*;*;*;
388;J0820-3921;08:20:49.1;-39:21:55.7;1.073567;1.22e-14;*;*;*;
389;J0820-4114;08:20:15.4;-41:14:35.2;0.545446;1.98e-17;*;*;*;
390;J0821-4221;08:21:44.6;-42:21:25.4;0.396728;3.48e-15;*;*;*;
391;J0821-4300;08:21:57.3;-43:00:17.0;0.112799;9.28e-18;*;NRAD;*;
392;J0823+0159;08:23:09.7;+01:59:12.4;0.864873;1.05e-16;BT;*;*;
393;J0824+0028;08:24:24.8;+00:28:00.5;0.009861;1.47e-19;DDH;*;*;
394;J0826+2637;08:26:51.5;+26:37:21.2;0.530661;1.71e-15;*;HE[bwt+04];*;
395;J0827+53;08:27:48;+53:00;0.013500;*;*;*;*;
396;J0828-3417;08:28:16.6;-34:17:07;1.848919;9.96e-16;*;*;*;
397;J0831-4406;08:31:32.4;-44:06:11.9;0.311674;1.28e-15;*;*;*;
398;J0834-4159;08:34:17.8;-41:59:35.9;0.121118;4.28e-15;*;*;1;
399;J0834-60;08:34:50;-60:35;0.384645;*;*;*;*;
400;J0835-3707;08:35:03.0;-37:07:51.5;0.541404;9.78e-15;*;*;*;
401;J0835-4510;08:35:20.6;-45:10:34.8;0.089328;1.25e-13;*;HE[hg73,tfko75];21;
402;J0836-4233;08:36:05.8;-42:33:24.9;0.738436;1.32e-15;*;*;*;
403;J0837+0610;08:37:05.6;+06:10:14.5;1.273768;6.80e-15;*;*;*;
404;J0837-24;08:37:44;-24:47:48;*;*;*;RRAT;*;
405;J0837-4135;08:37:21.1;-41:35:14.5;0.751625;3.54e-15;*;*;*;
406;J0838-2621;08:38:18.8;-26:21:29.5;0.308581;3.90e-17;*;*;*;
407;J0838-3947;08:38:30.8;-39:47:22;1.703946;8.13e-16;*;*;*;
408;J0839-66;08:39:37;-66:34:52;0.449339;*;*;*;*;
409;J0840-5332;08:40:33.7;-53:32:35.9;0.720614;1.64e-15;*;*;*;
410;J0842-4851;08:42:05.4;-48:51:20.6;0.644354;9.56e-15;*;*;*;
411;J0843+0719;08:43:33.8;+07:18:47.8;1.365860;*;*;*;*;
412;J0843-5022;08:43:09.8;-50:22:43.1;0.208956;1.72e-16;*;*;*;
413;J0843+67;08:43:22.8;+67:13:08;0.002846;*;BT;HE[trr+21,aab+22];*;
414;J0846-3533;08:46:06.0;-35:33:41.2;1.116098;1.60e-15;*;*;1;
415;J0847-4316;08:47:57.3;-43:16:56.8;5.977493;1.20e-13;*;RRAT;*;
416;J0848+16;08:48:53;+16:43;0.452400;*;*;*;*;
417;J0849-6322;08:49:42.5;-63:22:35.0;0.367953;7.91e-16;*;*;*;
418;J0849+8028;08:49:01.5;+80:28:59.1;1.602228;4.46e-16;*;*;*;
419;J0854+5449;08:54:25.7;+54:49:28.7;1.233033;3.12e-16;*;*;*;
420;J0855-3331;08:55:38.4;-33:31:39.3;1.267536;6.32e-15;*;*;*;
421;J0855-4644;08:55:36.1;-46:44:13.4;0.064686;7.26e-15;*;*;*;
422;J0855-4658;08:55:19.5;-46:58:22.6;0.575072;1.36e-14;*;*;*;
423;J0856-6137;08:56:59.2;-61:37:52.7;0.962511;1.68e-15;*;*;*;
424;J0857+3349;08:57:07.0;+33:49:17.0;0.242961;2.40e-16;*;*;*;
425;J0857-4424;08:57:55.8;-44:24:10.6;0.326786;2.09e-14;*;*;*;
426;J0900-3144;09:00:43.9;-31:44:30.8;0.011110;4.89e-20;ELL1;*;*;
427;J0901-4624;09:01:40.1;-46:24:48.5;0.441995;8.75e-14;*;*;1;
428;J0902-6325;09:02:32.4;-63:25:12.0;0.660313;1.07e-16;*;*;*;
429;J0904-4246;09:04:59.0;-42:46:13.4;0.965173;1.88e-15;*;*;*;
430;J0904-7459;09:04:10.4;-74:59:41.7;0.549554;4.61e-16;*;*;*;
431;J0905-4536;09:05:23.9;-45:36:53.0;0.988281;1.49e-16;*;*;*;
432;J0905-5127;09:05:51.9;-51:27:54.0;0.346301;2.49e-14;*;*;2;
433;J0905-6019;09:05:15.2;-60:19:22.0;0.340854;5.22e-16;*;*;*;
434;J0907-5157;09:07:15.9;-51:57:59.3;0.253558;1.83e-15;*;*;*;
435;J0908-1739;09:08:38.1;-17:39:37.6;0.401626;6.69e-16;*;*;*;
436;J0908-4913;09:08:35.4;-49:13:05.0;0.106769;1.51e-14;*;HE[dmd+88,aab+22];1;
437;J0909-7212;09:09:35.8;-72:12:08.9;1.362890;3.27e-16;*;*;*;
438;J0910+77;09:10;+77:28;1.579050;*;*;*;*;
439;J0912-3851;09:12:42.7;-38:51:03;1.526085;3.59e-15;*;RRAT;*;
440;J0919-42;09:19;-42:00;0.812600;*;*;*;*;
441;J0919-6040;09:19:27.8;-60:40:50.4;1.216976;1.00e-17;*;*;*;
442;J0921-5202;09:21:59.8;-52:02:38.4;0.009680;1.70e-20;ELL1;*;*;
443;J0921+6254;09:21:14.1;+62:54:13.9;1.567994;3.61e-15;*;*;*;
444;J0922+0638;09:22:14.0;+06:38:23.3;0.430627;1.37e-14;*;*;1;
445;J0922-4949;09:22:14.9;-49:49:12.0;0.950289;9.76e-14;*;*;*;
446;J0923-31;09:23:58;-31:57;*;*;*;RRAT;*;
447;J0924-5302;09:24:08.7;-53:02:42.6;0.746338;3.53e-14;*;*;*;
448;J0924-5814;09:24:30.8;-58:14:05.1;0.739505;4.92e-15;*;*;*;
449;J0925+6103;09:25:17.5;+61:03:04.1;0.005983;1.61e-20;ELL1;*;*;
450;J0927+2345;09:27:45.2;+23:45:10.7;0.761889;3.05e-16;*;*;*;
451;J0928+06;09:28:44;+06:14;2.060400;*;*;*;*;
452;J0928+30;09:29:00;+30:38;2.091500;*;*;*;*;
453;J0930-2301;09:30:02.8;-23:01:45;1.807069;3.36e-15;*;*;*;
454;J0931-1902;09:31:19.1;-19:02:55.0;0.004638;3.63e-21;*;HE[abb+15,aab+22];*;
455;J0932-3217;09:32:39.1;-32:17:14.2;1.931627;2.50e-16;*;*;*;
456;J0932-5327;09:32:22.8;-53:27:11.0;4.392159;8.37e-15;*;*;*;
457;J0934-4154;09:34:58.2;-41:54:19.5;0.570409;2.69e-16;*;*;*;
458;J0934-5249;09:34:28.2;-52:49:27.3;1.444777;4.65e-15;*;*;*;
459;J0935+33;09:35:06;+33:11;0.961500;*;*;*;*;
460;J0940-5428;09:40:58.2;-54:28:40.6;0.087545;3.29e-14;*;HE[mlc+01,aab+22];2;
461;J0941-39;09:41:38;-39:41;0.586778;*;*;RRAT;*;
462;J0941-5244;09:41:41.1;-52:44:04.4;0.658558;1.14e-15;*;*;*;
463;J0942-5552;09:42:14.8;-55:52:55.1;0.664389;2.27e-14;*;*;*;
464;J0942-5657;09:42:54.4;-56:57:43.2;0.808164;3.96e-14;*;*;*;
465;J0943+1631;09:43:30.1;+16:31:37;1.087418;9.11e-17;*;*;*;
466;J0943+2253;09:43:32.3;+22:53:05.6;0.532975;8.98e-17;*;*;*;
467;J0944-1354;09:44:28.9;-13:54:41.6;0.570264;4.53e-17;*;*;*;
468;J0944+4106;09:44:18.1;+41:06:04.5;2.229431;4.42e-15;*;*;*;
469;J0945-4833;09:45:38.2;-48:33:14.5;0.331586;4.83e-15;*;*;*;
470;J0946+0951;09:46:07.6;+09:51:55;1.097706;3.49e-15;*;*;*;
471;J0947+2740;09:47:21.2;+27:40:43.5;0.851014;4.30e-16;*;*;*;
472;J0949-6902;09:49:20.5;-69:02:41.6;0.640016;6.37e-16;*;*;*;
473;J0951-71;09:51:24;-71:19:01;0.212378;*;*;*;*;
474;J0952-0607;09:52:08.3;-06:07:23.4;0.001414;4.77e-21;ELL1;HE[ncb+19];*;
475;J0952-3839;09:52:17.2;-38:39:10.2;1.373815;5.80e-16;*;*;*;
476;J0953+0755;09:53:09.3;+07:55:35.7;0.253065;2.30e-16;*;HE[bwt+04];*;
477;J0954-5430;09:54:06.0;-54:30:52.8;0.472851;4.39e-14;*;*;1;
478;J0955-5304;09:55:29.4;-53:04:16.6;0.862122;3.53e-15;*;*;*;
479;J0955-6150;09:55:12;-61:50;0.001999;1.43e-20;BT;HE[ckr+15];*;
480;J0957-06;09:57;-06:17;1.723700;*;*;RRAT;*;
481;J0957-5432;09:57:56.0;-54:32:03.9;0.203557;1.95e-15;*;*;*;
482;J0959-4809;09:59:26.2;-48:09:47.4;0.670086;8.47e-17;*;*;*;
483;J1000+08;10:00:38;+08:19:58;0.440372;*;*;*;*;
484;J1000-5149;10:00:28.1;-51:49:58.1;0.255677;9.59e-16;*;*;*;
485;J1001-5507;10:01:37.8;-55:07:07.8;1.436631;5.16e-14;*;*;*;
486;J1001-5559;10:01:08.6;-55:59:00.2;1.661177;8.60e-16;*;*;*;
487;J1001-5939;10:01:32.2;-59:39:17.8;7.733640;5.99e-14;*;*;*;
488;J1002-5559;10:02:57.9;-55:59:37;0.777501;1.57e-15;*;*;*;
489;J1002-5919;10:02:20.5;-59:19:37.2;0.713489;1.04e-16;*;*;*;
490;J1003-4747;10:03:21.5;-47:47:01.1;0.307074;2.07e-15;*;*;*;
491;J1005+30;10:05:30;+30:15;*;*;*;RRAT[ttm18];*;
492;J1006-6311;10:06:36.6;-63:11:41.2;0.835797;5.73e-16;*;*;*;
493;J1010+15;10:10:00;+15:51;*;*;*;RRAT[dsm+13];*;
494;J1012-2337;10:12:33.7;-23:38:22.4;2.517945;8.81e-16;*;*;*;
495;J1012-4235;10:12:12.9;-42:35:53.4;0.003101;*;BT;HE[ckr+15];*;
496;J1012+5307;10:12:33.4;+53:07:02.2;0.005256;1.71e-20;ELL1;HE[wob+04];*;
497;J1012-5830;10:12:54.9;-58:30:25.6;2.133591;3.77e-14;*;*;*;
498;J1012-5857;10:12:48.4;-58:57:48.5;0.819926;1.78e-14;*;*;*;
499;J1013-5934;10:13:31.8;-59:34:26.6;0.442901;5.56e-16;*;*;*;
500;J1014-48;10:14:18;-48:49:42;1.508800;*;*;RRAT;*;
501;J1015-5719;10:15:37.9;-57:19:12.8;0.139882;5.74e-14;*;*;1;
502;J1016-5345;10:16:31.1;-53:45:14.2;0.769586;1.93e-15;*;*;*;
503;J1016-5819;10:16:12.0;-58:19:01.0;0.087834;6.99e-16;*;*;*;
504;J1016-5857;10:16:21.1;-58:57:12.1;0.107386;8.08e-14;*;*;4;
505;J1017+3011;10:17:36.2;+30:11:46.1;0.452785;5.70e-16;*;*;*;
506;J1017-5621;10:17:12.8;-56:21:30.5;0.503463;3.14e-15;*;*;*;
507;J1017-7156;10:17:51.3;-71:56:41.6;0.002339;2.21e-21;T2;*;*;
508;J1018-1523;10:18;-15;0.083100;*;*;*;*;
509;J1018-1642;10:18:40.3;-16:42:10.1;1.804695;1.74e-15;*;*;*;
510;J1019-5749;10:19:52.1;-57:49:05.9;0.162499;2.01e-14;*;HE[kbm+03,aab+22];2;
511;J1020-5921;10:20:14.0;-59:21:34;1.238305;4.05e-14;*;*;*;
512;J1020-6026;10:20:11.4;-60:26:06.3;0.140481;6.74e-15;*;*;*;
513;J1021-5601;10:21:24.8;-56:01:50.9;0.670026;5.34e-17;*;*;*;
514;J1022+1001;10:22:57.9;+10:01:52.6;0.016453;4.33e-20;T2;*;*;
515;J1022-5813;10:22:28.1;-58:13:30;1.643726;1.45e-13;*;*;*;
516;J1023+0038;10:23:47.6;+00:38:40.8;0.001688;6.93e-21;T2;HE[jah+16,aps+17];*;
517;J1023-5746;10:23:02.9;-57:46:05;0.111472;3.84e-13;*;NRAD;1;
518;J1024-0719;10:24:38.6;-07:19:19.5;0.005162;1.86e-20;*;HE[egc+13];*;
519;J1028-5819;10:28:28.0;-58:19:05.2;0.091403;1.61e-14;*;HE[aaa+09];1;
520;J1031-6117;10:31:02.2;-61:17:50.6;0.306411;1.78e-15;*;*;*;
521;J1032-5206;10:32:27.6;-52:06:08.5;2.407622;1.79e-14;*;*;*;
522;J1032-5911;10:32:04.8;-59:11:54.8;0.464213;1.80e-15;*;*;*;
523;J1034-3224;10:34:19.5;-32:24:26.0;1.150590;2.30e-16;*;*;*;
524;J1035-6345;10:35:03.0;-63:45:18.4;0.579577;3.50e-16;*;*;*;
525;J1035-6720;10:35:27.4;-67:20:12.6;0.002872;4.65e-20;*;HE[cpw+18];*;
526;J1036-4926;10:36:13.1;-49:26:21.2;0.510369;1.65e-15;*;*;*;
527;J1036-6559;10:36:20.0;-65:59:09.2;0.533502;1.36e-15;*;*;*;
528;J1036-8317;10:36:40.5;-83:17:56.0;0.003408;*;BT;HE[ckr+15];*;
529;J1038+0032;10:38:26.9;+00:32:43.6;0.028852;6.70e-20;*;*;*;
530;J1038-5831;10:38:19.7;-58:31:27.1;0.661992;1.25e-15;*;*;*;
531;J1041-1942;10:41:36.1;-19:42:13.6;1.386368;9.45e-16;*;*;*;
532;J1042-5521;10:42:00.4;-55:21:05.7;1.170867;6.72e-15;*;*;*;
533;J1043-6116;10:43:55.2;-61:16:50.7;0.288605;1.04e-14;*;*;*;
534;J1044-5737;10:44:32.8;-57:37:19.3;0.139029;5.46e-14;*;NRAD;*;
535;J1045-0436;10:45;-04;0.024000;*;*;*;*;
536;J1045-4509;10:45:50.1;-45:09:54.1;0.007474;1.77e-20;T2;*;*;
537;J1046+0304;10:46:43.2;+03:04:06.9;0.326271;1.24e-16;*;*;*;
538;J1046-5813;10:46:18.8;-58:13:52.0;0.369428;1.15e-15;*;*;*;
539;J1047-3032;10:47:00.8;-30:32:18.0;0.330328;6.10e-17;*;*;*;
540;J1047-6709;10:47:28.2;-67:09:51.0;0.198451;1.69e-15;*;*;*;
541;J1048+2339;10:48:43.4;+23:39:53.4;0.004665;3.01e-20;BTX;HE[drc+21];*;
542;J1048-5832;10:48:13.0;-58:32:06.2;0.123725;9.61e-14;*;HE[klm+00,aaa+09i];7;
543;J1048-5838;10:48:12.5;-58:38:19.0;1.231305;1.22e-14;*;RRAT;*;
544;J1049+5822;10:49:37.9;+58:22:17.1;0.727618;3.91e-15;*;*;*;
545;J1049-5833;10:49:50.3;-58:33:44.6;2.202325;4.41e-15;*;*;*;
546;J1050-5953;10:50:07.1;-59:53:21.4;6.452077;3.81e-11;*;AXP,NRAD;2;
547;J1052-5954;10:52:38.1;-59:54:44.1;0.180592;2.00e-14;*;*;1;
548;J1052-6348;10:52:53.3;-63:48:16.6;0.383830;3.87e-16;*;*;*;
549;J1054-5943;10:54:57.7;-59:43:14.1;0.346909;4.07e-15;*;*;*;
550;J1054-5946;10:54:30.4;-59:46:31.0;0.228324;2.09e-16;*;*;*;
551;J1054-6452;10:54:08.8;-64:52:37.5;1.840004;3.14e-15;*;*;*;
552;J1055-6022;10:55:48.5;-60:22:52;0.947558;9.24e-14;*;*;*;
553;J1055-6028;10:55:39.1;-60:28:37.5;0.099661;2.95e-14;*;HE;1;
554;J1055-6236;10:55:54.6;-62:36:48.3;0.448635;7.08e-16;*;*;*;
555;J1055-6905;10:55:44.7;-69:05:11.4;2.919397;2.03e-14;*;*;*;
556;J1056-5709;10:56:43.7;-57:09:34.5;0.676082;5.76e-16;*;*;*;
557;J1056-6258;10:56:25.5;-62:58:47.6;0.422451;3.58e-15;*;*;*;
558;J1056-7117;10:56:45.9;-71:17:53.3;0.026310;6.30e-20;ELL1;*;*;
559;J1057-4754;10:57:53.1;-47:54:57.6;0.628306;2.25e-16;*;*;*;
560;J1057-5226;10:57:59.0;-52:26:56.3;0.197115;5.84e-15;*;HE[aaa+10m];*;
561;J1057-5851;10:57:09.5;-58:51:07;0.620365;1.01e-13;*;NRAD;*;
562;J1057-7914;10:57:27.7;-79:14:23.6;1.347404;1.33e-15;*;*;*;
563;J1058-5957;10:58:34.2;-59:57:36.4;0.616270;6.57e-16;*;*;*;
564;J1059-5742;10:59:00.8;-57:42:14.5;1.185003;4.31e-15;*;*;*;
565;J1059+6459;10:59:27.5;+64:59:32;3.631170;5.74e-15;*;*;*;
566;J1101-6101;11:01:44.9;-61:01:39.6;0.062800;8.56e-15;*;NRAD;*;
567;J1101-6424;11:01:37.1;-64:24:39.3;0.005109;1.80e-21;ELL1;*;*;
568;J1102+02;11:02;+02;0.004050;*;*;*;*;
569;J1103-5403;11:03:33.2;-54:03:43.2;0.003393;3.68e-21;*;*;*;
570;J1103-6025;11:03:31.4;-60:25:36.3;0.396587;9.90e-16;*;*;*;
571;J1104-6103;11:04:17.2;-61:03:03.8;0.280905;1.97e-15;*;*;*;
572;J1105-4353;11:05:24.8;-43:53:05;0.351112;2.50e-15;*;*;*;
573;J1105-6037;11:05:00.4;-60:37:16.3;0.194938;2.18e-14;*;NRAD;*;
574;J1105-6107;11:05:26.1;-61:07:48.9;0.063202;1.58e-14;*;*;4;
575;J1106-6438;11:06:28.4;-64:39:00.0;2.717934;2.33e-15;*;*;*;
576;J1107-5907;11:07:34.4;-59:07:18.7;0.252773;9.01e-18;*;*;*;
577;J1107-5947;11:07:58.7;-59:47:04;1.516531;3.40e-16;*;*;*;
578;J1107-6143;11:07:12.3;-61:43:59;1.799396;1.56e-13;*;*;*;
579;J1110-5637;11:10:00.3;-56:37:32.5;0.558254;2.06e-15;*;*;*;
580;J1110+58;11:11;+58:52;0.793348;*;*;*;*;
581;J1111-6039;11:11:48.6;-60:39:26;0.106670;1.95e-13;*;NRAD[aab+22];*;
582;J1112-6103;11:12:14.8;-61:03:31.1;0.064962;3.15e-14;*;*;4;
583;J1112-6613;11:12:38.4;-66:13:04.6;0.334214;8.25e-16;*;*;*;
584;J1112-6926;11:12:50.7;-69:26:32.3;0.820488;2.82e-15;*;*;*;
585;J1114-6100;11:14:22.6;-61:00:32.1;0.880858;4.60e-14;*;*;*;
586;J1115-0956;11:15:27.3;-09:56:53.1;1.310894;3.47e-17;*;*;*;
587;J1115+5030;11:15:38.4;+50:30:12.2;1.656440;2.49e-15;*;*;*;
588;J1115-6052;11:15:53.7;-60:52:18.6;0.259779;7.23e-15;*;*;*;
589;J1116-2444;11:16:23.2;-24:44:56.1;0.867949;9.85e-16;*;*;*;
590;J1116-4122;11:16:43.0;-41:22:43.9;0.943158;7.95e-15;*;*;*;
591;J1117-6154;11:17:23.8;-61:54:22;0.505097;1.25e-14;*;*;*;
592;J1117-6447;11:17:45.0;-64:47:58;1.155272;2.40e-16;*;*;*;
593;J1119-6127;11:19:14.3;-61:27:49.5;0.407963;4.02e-12;*;HE[gkc+07];4;
594;J1119-7936;11:19:40.8;-79:36:30.3;2.280597;3.67e-15;*;*;*;
595;J1120-24;11:20;-24;0.497000;*;*;*;*;
596;J1120-3618;11:20:23.3;-36:19:40.4;0.005557;9.26e-22;DDH;*;*;
597;J1121-5444;11:21:19.0;-54:44:05.1;0.535787;2.78e-15;*;*;*;
598;J1122-3546;11:22;-35:46;0.007800;*;*;*;*;
599;J1123-4844;11:23:15.6;-48:44:22.7;0.244838;6.54e-17;*;*;*;
600;J1123-6102;11:23:41.7;-61:02:06.2;0.640234;6.46e-15;*;*;*;
601;J1123-6259;11:23:55.5;-62:59:10.9;0.271437;5.25e-15;*;*;1;
602;J1123-6651;11:23:52.2;-66:51:49.0;0.232976;2.75e-15;*;*;*;
603;J1124-3653;11:24:01.1;-36:53:19.1;0.002410;5.80e-21;*;HE;*;
604;J1124-5638;11:24:56.4;-56:38:39.7;0.185560;9.00e-18;*;*;*;
605;J1124-5916;11:24:39.0;-59:16:19;0.135477;7.53e-13;*;HE[hsp+03];1;
606;J1124-6421;11:24:59.5;-64:21:17;0.479099;6.20e-16;*;*;*;
607;J1125-5825;11:25:44.3;-58:25:16.8;0.003102;6.09e-20;DD;HE;*;
608;J1125-6014;11:25:55.2;-60:14:06.6;0.002630;3.73e-21;T2;HE[sbc+19];*;
609;J1125+7819;11:25:59.8;+78:19:48.7;0.004202;6.94e-21;ELL1;*;*;
610;J1126-2737;11:26:02;-27:37:11;0.358161;*;*;RRAT[kkl+15];*;
611;J1126-38;11:26:18;-38:38;0.887550;*;*;*;*;
612;J1126-6054;11:26:52.6;-60:54:39.9;0.202737;2.81e-16;*;*;*;
613;J1126-6942;11:26:21.6;-69:42:15.8;0.579419;3.29e-15;*;*;*;
614;J1128-6219;11:28:46.7;-62:19:09;0.515984;1.10e-17;*;*;*;
615;J1129-53;11:29:21;-53:31;1.062880;*;*;RRAT;*;
616;J1130-5826;11:30:16.3;-58:26:02.3;0.162323;1.59e-17;*;*;*;
617;J1130-5925;11:30:10.4;-59:25:34.1;0.680984;9.52e-16;*;*;*;
618;J1130-6807;11:30:31.9;-68:07:28.5;0.256353;4.60e-16;*;*;*;
619;J1132+25;11:32:50;+25:15;1.002000;*;*;RRAT(?)[ttm18];*;
620;J1132-4700;11:32:14.5;-47:00:36.5;0.325633;7.77e-16;*;*;*;
621;J1132-5627;11:32:15.7;-56:27:28.9;0.175166;6.80e-17;*;*;*;
622;J1133-6250;11:33:51.4;-62:50:50.6;1.022875;4.52e-16;*;*;*;
623;J1135-49;11:35:56;-49:25:31;*;*;*;RRAT;*;
624;J1135-6055;11:35:08.3;-60:55:36.4;0.114943;7.93e-14;*;NRAD;*;
625;J1136+1551;11:36:03.1;+15:51:14.1;1.187913;3.73e-15;*;*;*;
626;J1136-5525;11:36:02.1;-55:25:06.9;0.364713;8.23e-15;*;*;*;
627;J1136-6527;11:36:25.2;-65:27:19.5;1.189309;1.75e-15;*;*;*;
628;J1137-6700;11:37:32.0;-67:00:33.0;0.556216;7.17e-17;*;*;*;
629;J1137+7528;11:37:02.0;+75:28:02.3;0.002513;3.24e-21;ELL1;HE;*;
630;J1138-6207;11:38:21.6;-62:07:59.3;0.117564;1.25e-14;*;*;*;
631;J1139-6247;11:39:17.1;-62:47:25;0.120482;4.05e-15;*;NRAD[nie+20];*;
